Hora,Noroeste Ozono,Noroeste diÌ_xido de azufre,Noroeste diÌ_xido de nitrÌ_geno,Noroeste monÌ_xido de carbono,Noroeste PM10,Noreste diÌ_xido de azufre,Noreste diÌ_xido de nitrÌ_geno,Noreste monÌ_xido de carbono,Noreste PM10,Noreste Ozono
1,9,18,18,12,80,5,22,11,101,8
2,5,15,17,13,86,5,21,12,102,4
3,6,12,16,13,94,4,21,14,105,4
4,3,9,17,13,100,4,21,15,108,4
5,3,8,16,13,103,3,20,18,113,4
6,4,6,15,13,106,3,19,19,119,4
7,4,6,15,12,108,3,17,19,123,4
8,4,5,13,12,110,4,17,20,127,5
9,11,5,16,11,111,4,21,22,129,8
10,23,5,23,11,113,4,26,22,131,21
11,39,4,18,11,114,4,19,20,131,37
12,48,4,10,10,115,4,10,18,132,55
13,61,4,8,9,115,5,8,15,131,63
14,90,4,6,7,113,5,5,14,129,80
15,92,3,6,7,112,5,6,12,129,96
16,100,3,7,6,112,5,8,10,129,94
17,88,3,9,5,112,5,8,8,129,67
18,67,3,11,5,112,4,12,6,129,46
19,42,3,10,5,112,5,16,5,129,34
20,26,3,17,5,113,5,20,5,129,25
21,22,3,19,5,112,5,24,6,128,18
22,23,3,22,6,112,5,27,7,127,14
23,18,3,26,6,112,4,28,8,126,7
24,6,3,25,7,112,4,26,10,125,6
1,8,3,20,7,111,4,26,11,124,4
2,8,3,19,8,110,4,24,12,124,4
3,6,3,17,8,108,4,22,13,122,11
4,9,3,19,7,106,4,21,14,118,14
5,9,3,17,7,105,4,20,14,115,7
6,4,3,16,7,102,4,19,14,112,3
7,2,3,20,8,96,3,19,14,110,2
8,2,3,21,10,87,3,20,15,108,3
9,4,3,24,12,81,3,25,16,107,6
10,9,3,31,13,76,2,26,16,106,13
11,22,3,36,14,73,2,26,15,103,26
12,37,3,29,15,73,2,15,15,102,36
13,47,3,20,15,74,2,11,15,102,41
14,47,3,16,15,76,2,10,14,101,46
15,65,3,14,14,77,2,6,13,101,47
16,84,3,14,11,78,2,10,11,101,65
17,88,3,16,9,77,2,14,7,101,59
18,61,3,21,8,76,2,21,6,101,49
19,26,3,40,8,74,2,30,7,101,29
20,26,4,39,9,76,5,39,8,102,17
21,22,5,36,10,78,5,38,8,102,24
22,20,5,33,10,84,5,36,10,102,14
23,21,5,31,12,90,5,33,12,103,8
24,22,5,29,14,94,5,32,14,104,13
1,21,6,27,14,94,6,30,15,105,15
2,21,7,21,14,94,6,27,17,105,6
3,23,8,22,13,96,6,25,17,106,2
4,19,9,23,12,96,6,22,17,106,2
5,21,9,22,10,97,6,23,17,107,3
6,16,10,22,9,99,6,23,16,108,2
7,6,11,23,9,100,7,24,16,108,3
8,3,12,24,9,101,8,20,17,108,3
9,5,12,30,10,101,8,25,18,108,4
10,11,15,35,12,101,8,34,19,109,10
11,23,16,28,13,101,9,43,20,110,21
12,39,17,27,13,101,11,46,21,111,36
13,49,17,25,13,102,12,35,21,112,49
14,65,18,20,13,102,13,23,20,114,88
15,78,18,19,12,102,13,20,18,114,110
16,82,19,15,10,101,14,11,15,115,104
17,59,22,15,9,102,15,14,13,115,71
18,39,23,20,8,103,17,14,11,116,49
19,25,24,33,8,103,18,30,9,116,34
20,17,23,40,9,103,16,34,8,116,35
21,14,22,36,10,103,15,31,8,116,26
22,17,22,34,10,103,15,28,9,116,11
23,17,22,30,11,103,15,29,10,116,5
24,16,22,27,12,103,15,28,13,115,11
1,16,22,25,13,104,15,27,14,114,3
2,17,21,22,13,105,15,25,15,114,9
3,17,19,21,13,105,15,24,14,114,16
4,21,18,20,11,105,15,20,13,114,4
5,19,18,20,10,105,15,19,13,115,5
6,11,18,26,9,104,15,20,14,115,3
7,4,17,25,9,103,14,21,16,115,3
8,2,16,22,10,103,14,23,18,116,3
9,4,16,28,12,103,14,27,20,117,5
10,10,14,35,13,103,13,39,22,118,11
11,23,12,36,14,103,12,32,21,118,24
12,48,12,36,12,103,10,41,22,118,36
13,43,12,26,13,104,9,31,22,118,44
14,40,12,12,13,104,9,15,20,117,46
15,39,12,7,12,104,8,7,17,117,42
16,40,10,10,11,103,8,8,15,116,44
17,38,9,10,9,103,8,9,11,117,46
18,35,8,12,8,103,7,13,9,118,39
19,25,8,20,7,102,5,20,8,118,29
20,19,9,23,7,102,5,19,6,118,24
21,14,9,24,7,102,5,20,6,118,16
22,10,10,23,7,102,5,22,7,118,4
23,4,10,21,7,102,5,24,8,117,3
24,9,10,17,7,100,5,23,11,118,2
1,,10,,8,94,5,,12,119,
2,,10,,8,90,5,,14,120,
3,,10,,5,90,5,,7,119,
4,9,11,16,,90,5,20,9,118,2
5,8,11,17,,90,5,21,10,118,2
6,3,11,16,,90,6,18,11,118,4
7,1,11,13,,90,6,19,13,120,4
8,1,11,16,,91,7,17,16,122,4
9,3,11,19,17,94,8,26,25,123,4
10,9,11,33,18,96,9,35,25,124,9
11,19,11,36,19,100,9,40,24,124,26
12,37,11,34,21,102,9,34,24,124,41
13,59,12,26,22,103,9,29,24,124,78
14,61,12,16,21,103,9,30,22,124,108
15,36,12,8,18,104,9,27,20,126,116
16,34,12,8,15,104,10,21,17,127,109
17,39,11,8,12,104,9,19,14,127,63
18,36,10,20,9,103,9,19,11,126,63
19,15,9,26,9,103,9,36,12,124,34
20,24,7,29,9,103,9,36,12,125,21
21,19,5,32,13,103,9,42,12,126,17
22,6,5,29,15,103,9,42,14,127,10
23,6,5,26,15,103,9,39,16,129,11
24,2,5,25,17,105,10,36,18,131,6
1,1,5,33,18,106,10,32,21,132,2
2,2,5,29,19,106,9,32,24,133,5
3,3,5,27,17,107,9,30,25,134,4
4,4,5,23,17,107,10,29,26,136,2
5,3,5,21,16,107,10,24,27,138,4
6,2,4,23,16,107,10,24,26,141,4
7,2,4,22,17,107,10,25,28,143,6
8,2,4,25,19,107,11,28,32,148,6
9,4,4,30,20,107,10,30,35,153,4
10,9,4,47,21,107,10,48,34,156,6
11,19,4,49,22,107,10,54,32,157,21
12,36,4,49,23,108,10,28,30,158,44
13,53,4,26,23,108,10,21,28,157,82
14,80,4,21,21,108,10,21,26,157,106
15,108,4,17,19,108,10,22,23,156,120
16,109,4,19,15,108,10,10,16,156,131
17,104,4,27,13,108,10,18,13,156,118
18,82,4,32,12,108,10,21,10,156,76
19,34,4,40,11,108,11,22,9,156,40
20,23,4,32,11,108,11,30,9,158,31
21,19,4,40,13,108,11,29,10,158,31
22,14,4,34,14,109,11,38,12,158,19
23,12,5,36,15,110,11,39,13,157,6
24,14,5,28,15,112,11,35,15,157,6
1,15,5,24,15,113,10,37,17,156,5
2,16,5,24,14,113,8,33,19,156,6
3,21,5,23,14,113,8,30,20,155,2
4,21,5,21,13,113,7,25,21,155,4
5,17,5,20,12,112,7,23,21,153,2
6,6,5,23,11,112,6,23,20,149,2
7,2,5,21,9,112,6,24,20,145,3
8,3,5,21,8,111,5,23,20,139,3
9,7,6,21,8,110,5,31,21,132,6
10,15,10,24,8,109,8,31,20,128,10
11,16,11,16,8,108,10,30,19,127,20
12,28,12,24,8,106,12,27,19,126,32
13,44,14,27,9,106,13,22,18,126,49
14,61,15,28,10,107,14,20,17,126,76
15,82,16,20,10,108,15,19,15,126,107
16,88,17,19,9,108,15,18,14,126,108
17,90,17,15,9,109,15,15,11,126,69
18,43,17,16,8,109,15,11,10,127,46
19,30,18,21,8,110,15,12,8,126,33
20,24,22,23,8,110,15,16,8,125,26
21,12,28,20,7,109,15,16,7,124,26
22,16,38,23,7,107,16,17,7,123,19
23,16,50,22,6,105,18,22,6,121,14
24,14,56,21,6,104,25,23,6,120,14
1,16,60,22,6,103,31,23,7,118,11
2,6,62,20,6,104,34,22,7,117,8
3,7,62,17,6,104,37,20,7,116,7
4,9,64,15,5,105,38,16,7,114,11
5,12,66,14,5,106,39,14,7,112,10
6,11,67,13,5,106,39,14,6,111,10
7,10,69,13,5,106,39,13,6,110,11
8,10,69,13,4,105,38,11,6,108,10
9,11,68,13,4,105,38,12,5,107,11
10,16,66,13,5,105,35,11,5,105,14
11,17,65,15,5,104,32,11,5,103,13
12,19,63,16,5,104,31,12,6,103,14
13,23,62,15,5,103,30,15,6,102,21
14,29,61,14,5,103,28,14,7,102,31
15,36,59,18,6,102,28,18,7,102,41
16,43,58,23,6,102,28,20,8,102,44
17,42,58,24,7,102,28,24,9,102,46
18,41,59,28,7,102,28,31,10,102,40
19,25,66,35,8,102,28,40,11,102,26
20,21,67,33,9,102,29,45,12,103,13
21,19,58,27,9,102,30,32,12,104,15
22,14,53,23,10,102,29,22,13,104,17
23,9,53,20,10,102,27,22,13,104,18
24,6,51,18,9,102,24,18,13,104,16
1,7,51,18,9,102,22,18,13,103,12
2,6,49,16,9,101,21,17,12,103,4
3,6,46,15,7,101,19,17,11,102,4
4,6,45,14,6,101,21,16,8,102,7
5,5,44,15,5,100,22,15,8,102,6
6,4,44,16,5,100,22,15,7,102,6
7,2,43,16,5,101,24,14,7,103,4
8,2,42,16,6,101,25,14,8,103,2
9,4,42,16,6,101,26,13,8,103,4
10,6,42,17,7,101,27,15,9,104,6
11,10,43,21,8,101,28,20,10,105,11
12,16,43,33,9,101,28,22,11,106,17
13,28,43,33,10,102,28,23,12,107,27
14,36,42,33,11,102,29,23,12,108,38
15,46,42,30,11,103,29,22,12,109,44
16,57,42,24,11,103,29,17,12,109,49
17,53,42,27,11,103,29,18,11,109,57
18,43,42,33,11,103,29,14,11,109,41
19,23,41,45,10,103,28,19,10,108,15
20,19,38,29,10,102,27,24,9,108,11
21,16,35,32,10,102,27,28,10,107,14
22,14,34,21,9,102,26,28,11,106,7
23,9,36,20,9,102,30,24,10,107,11
24,9,40,19,9,102,40,22,11,107,4
1,9,35,19,8,102,42,20,11,108,4
2,12,35,18,8,102,40,19,12,109,3
3,6,37,17,7,101,40,17,12,110,3
4,3,39,16,6,101,41,14,12,111,4
5,2,42,17,6,101,42,14,11,111,3
6,2,43,18,6,100,42,14,10,111,2
7,2,44,18,6,100,41,14,11,111,3
8,2,44,23,10,101,40,16,13,112,3
9,3,45,25,12,102,39,20,15,113,4
10,7,45,32,15,102,39,17,16,114,8
11,15,45,39,16,103,39,21,17,114,16
12,28,46,44,17,103,39,22,18,113,29
13,34,47,33,17,103,39,16,18,112,33
14,42,47,25,17,103,39,10,17,110,43
15,49,47,21,16,103,39,11,15,109,51
16,51,47,25,14,102,40,11,14,108,53
17,69,47,20,12,101,40,13,11,108,84
18,46,47,25,10,101,40,15,9,107,80
19,25,47,38,11,99,40,23,8,108,32
20,15,48,39,11,99,40,29,8,108,20
21,15,48,39,11,99,40,33,8,110,7
22,21,49,35,12,100,40,29,9,111,4
23,18,48,34,12,102,37,23,10,112,2
24,19,40,28,12,103,25,22,11,113,2
1,,38,,13,103,22,,12,113,
2,,35,,14,104,22,,13,114,
3,,32,,,105,18,,,114,
4,21,28,21,,105,15,22,,115,1
5,14,23,24,,105,14,21,,116,1
6,7,21,23,,106,12,22,,117,2
7,2,18,30,,106,11,22,,119,3
8,2,17,32,,107,10,25,,121,4
9,4,15,30,19,106,8,30,25,122,4
10,11,14,40,20,107,8,39,26,126,8
11,21,12,48,20,106,7,47,26,127,17
12,36,11,37,21,107,6,43,27,128,33
13,49,11,23,21,106,5,20,27,128,48
14,53,11,18,21,106,5,13,25,128,57
15,78,11,19,19,107,5,15,23,127,71
16,92,10,19,15,107,5,15,18,127,86
17,94,10,19,12,107,5,18,14,127,94
18,63,10,22,9,108,5,18,11,127,50
19,39,10,32,7,108,5,21,9,127,28
20,21,10,33,8,108,5,26,8,127,16
21,21,9,32,9,107,5,28,9,126,12
22,14,8,33,10,106,5,29,10,126,16
23,14,6,31,11,106,4,31,11,125,5
24,16,5,30,11,105,5,30,12,125,10
1,18,5,26,12,104,5,28,13,126,11
2,21,5,24,13,104,5,26,14,126,3
3,16,5,23,13,104,5,25,15,125,3
4,19,5,23,13,105,5,24,15,125,2
5,17,5,23,13,105,5,20,15,125,2
6,6,5,23,13,105,5,21,15,125,2
7,2,5,31,14,106,5,22,15,124,3
8,2,5,31,17,106,5,23,19,124,2
9,4,5,31,19,106,5,23,22,123,3
10,12,5,43,21,106,5,35,25,121,7
11,24,5,45,22,107,5,40,25,121,16
12,39,5,42,22,107,5,40,25,121,36
13,50,5,24,22,106,5,14,25,121,53
14,49,5,19,22,106,5,10,25,121,57
15,76,5,19,19,106,5,13,22,120,76
16,71,5,14,14,105,5,11,17,121,84
17,80,5,13,10,105,5,13,12,121,82
18,50,5,19,8,105,5,20,8,121,57
19,38,6,31,8,105,5,24,7,119,39
20,19,5,27,7,105,5,26,7,120,33
21,16,5,35,7,106,5,27,7,121,22
22,14,5,23,7,105,5,25,7,121,11
23,21,5,21,8,104,5,22,8,121,11
24,21,5,26,8,105,5,28,9,120,10
1,16,5,20,8,105,5,26,11,120,3
2,18,5,21,9,105,5,22,11,120,2
3,16,5,19,8,104,5,22,12,121,3
4,14,5,21,8,103,5,20,13,121,2
5,9,5,20,7,102,5,21,14,122,3
6,6,5,19,7,101,5,20,15,122,2
7,2,5,23,9,101,5,20,16,122,3
8,2,5,21,12,101,5,20,19,122,4
9,4,5,26,14,100,5,25,23,123,4
10,8,6,41,15,97,5,41,25,124,9
11,17,6,33,15,96,5,48,25,126,19
12,32,6,34,15,97,5,27,25,127,29
13,32,6,13,15,96,5,11,24,126,33
14,40,5,12,15,93,5,9,23,125,41
15,46,5,12,15,91,5,9,21,124,46
16,50,5,10,13,90,5,10,16,124,53
17,47,5,12,10,90,5,10,14,124,50
18,38,5,17,7,94,5,16,10,124,34
19,19,5,15,6,99,5,12,7,127,21
20,14,5,18,5,97,5,12,6,128,21
21,10,5,15,5,97,5,14,5,127,13
22,8,5,17,5,97,5,18,6,126,10
23,8,5,16,5,97,5,19,7,125,11
24,9,7,18,5,96,5,18,7,126,11
1,8,9,17,5,97,5,18,8,125,11
2,7,10,13,5,97,5,18,8,124,14
3,7,11,12,5,96,5,17,9,123,11
4,9,12,12,5,94,5,15,9,122,6
5,9,12,12,5,94,5,15,10,121,4
6,6,12,12,5,94,5,15,10,119,3
7,6,12,14,5,94,5,15,10,118,1
8,2,12,14,5,94,4,13,11,117,2
9,4,12,16,6,94,4,18,12,115,6
10,10,13,23,7,97,5,25,13,113,9
11,14,15,25,8,94,8,26,14,111,15
12,24,17,30,9,91,9,27,14,110,28
13,36,18,30,9,93,11,30,15,111,44
14,41,18,23,10,97,11,23,15,113,65
15,49,18,17,10,97,12,17,15,114,80
16,65,19,14,10,100,12,15,14,115,92
17,59,19,12,9,101,12,16,12,116,67
18,49,19,17,8,99,12,17,12,116,49
19,39,21,18,7,91,13,20,11,112,31
20,19,22,16,7,91,13,16,10,112,26
21,13,22,18,6,93,13,17,8,112,26
22,15,22,19,6,93,13,20,7,112,19
23,8,21,20,7,91,13,21,7,111,6
24,11,21,19,7,93,13,19,8,111,9
